strain,date,lawn_worms,off_lawn_worms,censor,reason_to_censor,observations,scored_by,genotype
05C4,24/06/16,20,0,0,,,Tiffany ,N2
07C1,24/06/16,19,0,0,,,Tiffany ,N2
07C1,24/06/16,20,0,0,,,Tiffany ,N2
07C1,24/06/16,19,1,0,,,Tiffany ,N2
07C2,24/06/16,20,0,0,,,Tiffany ,N2
07C2,24/06/16,20,0,0,,,Tiffany ,N2
07C2,24/06/16,18,2,0,,,Tiffany ,N2
07C3,24/06/16,20,0,0,,,Tiffany ,N2
07C3,24/06/16,19,0,0,,,Tiffany ,N2
07C3,24/06/16,18,2,0,,,Tiffany ,N2
06B4,24/06/16,20,0,0,,,Tiffany ,N2
06B4,24/06/16,19,1,0,,,Tiffany ,N2
06B4,24/06/16,17,2,0,,,Tiffany ,N2
GFP,25/06/16,19,2,0,,,Tiffany ,N2
GFP,25/06/16,,,1,"shards fell into agar, smeared lawn",,Tiffany ,N2
GFP,25/06/16,10,0,1,only 10 worms total used,,Tiffany ,N2
10C1,25/06/16,20,0,0,,,Tiffany ,N2
10C1,25/06/16,21,1,0,,,Tiffany ,N2
10C1,25/06/16,20,1,0,,,Tiffany ,N2
10C2,25/06/16,18,0,0,,,Tiffany ,N2
10C2,25/06/16,20,0,0,,,Tiffany ,N2
10C2,25/06/16,20,0,0,,,Tiffany ,N2
09A3,25/06/16,20,0,0,,,Tiffany ,N2
09A3,25/06/16,20,0,0,,,Tiffany ,N2
09A3,25/06/16,20,0,0,,,Tiffany ,N2
GFP,26/06/16,20,0,0,,,Tiffany ,N2
GFP,26/06/16,20,0,0,,,Tiffany ,N2
GFP,26/06/16,20,0,0,,,Tiffany ,N2
08A2,26/06/16,20,0,0,,,Tiffany ,N2
08A2,26/06/16,19,1,0,,,Tiffany ,N2
08A2,26/06/16,20,0,0,,,Tiffany ,N2
08A4,26/06/16,20,0,0,,,Tiffany ,N2
08A4,26/06/16,20,0,0,,,Tiffany ,N2
08A4,26/06/16,20,0,0,,,Tiffany ,N2
09A1,26/06/16,17,3,0,,,Tiffany ,N2
09A1,26/06/16,17,3,0,,,Tiffany ,N2
09A1,26/06/16,20,0,0,,,Tiffany ,N2
GFP,28/06/16,19,1,0,,,Tiffany ,N2
GFP,28/06/16,20,0,0,,,Tiffany ,N2
GFP,28/06/16,19,1,0,,,Tiffany ,N2
15A4,28/06/16,18,2,0,,,Tiffany ,N2
15A4,28/06/16,20,0,0,,,Tiffany ,N2
15A4,28/06/16,18,2,0,,,Tiffany ,N2
16A2,28/06/16,21,0,0,,,Tiffany ,N2
16A2,28/06/16,20,0,0,,,Tiffany ,N2
16A2,28/06/16,19,0,0,,,Tiffany ,N2
14C2,28/06/16,19,1,0,,,Tiffany ,N2
14C2,28/06/16,18,2,0,,,Tiffany ,N2
14C2,28/06/16,20,0,0,,,Tiffany ,N2
GFP,29/06/16,20,0,0,,,Tiffany ,N2
GFP,29/06/16,20,0,0,,,Tiffany ,N2
GFP,29/06/16,20,0,0,,,Tiffany ,N2
01C3,29/06/16,19,1,0,,,Tiffany ,N2
01C3,29/06/16,19,1,0,,,Tiffany ,N2
01C3,29/06/16,20,0,0,,,Tiffany ,N2
11A1,29/06/16,19,1,0,,,Tiffany ,N2
11A1,29/06/16,20,0,0,,,Tiffany ,N2
11A1,29/06/16,20,0,0,,,Tiffany ,N2
